Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2016.0,"Tradutor:BOTTMANN, DENISE|Tradutor:GARSCHAGEN, DONALDSON M.|Tradutor:CARINA, CLAUDIO|Tradutor:GUERRA, RENATA|Autor:MONTEFIORE, SIMON SEBAG|Tradutor:GALINDO, ROGERIO W.",COMPANHIA DAS LETRAS,8535928235,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,944.0,117.9,OS ROMÁNOV,História
2021.0,Autor:FARIA E SILVA EDITORA,FARIA E SILVA (EB),6589573174,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,104.0,49.9,TRATADO SOBRE O CANHAMO,História
2021.0,"Autor:BRUNO, LEONARDO",COBOGO,6556910287,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,240.0,54.0,TRÊS POETAS DO SAMBA-ENREDO,História
2021.0,"Autor:PRIORE, MARY DEL",BENVIRA,6558100002,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,320.0,49.9,À PROCURA DELES,História
2021.0,"Autor:PINSKY, JAIME",CONTEXTO,6555411414,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,160.0,37.0,100 TEXTOS DE HISTÓRIA ANTIGA - EDIÇÃO COMEMORATIVA,História
2021.0,"Autor:CORBIN, ALAIN|Tradutor:AMARAL, CLINIO DE",VOZES,6557131648,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,224.0,40.0,HISTÓRIA DO SILÊNCIO,História
2017.0,"Tradutor:WINARSKI, LUNA FREIRE|Autor:GREY, JACOB",GALERA RECORD,8501104175,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,256.0,39.9,FERINOS: O ENCANTADOR DE CORVOS (VOL. 1),Teen
2019.0,Autor:LAKE PRESS PTY LTD,HAPPY BOOKS,8595032866,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,10.0,31.12,BRILHA E AGITA: EU TENHO 1 ANINHO,Teen
2013.0,"Autor:ZINK, MICHELLE|Tradutor:MACHADO, DILMA",ROCCO -,8579801478,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,392.0,39.5,CÍRCULO DE FOGO - VOL. 3. COLEÇÃO A PROFECIA DAS IRMÃS,Teen
2021.0,"Autor:LOPES, NEI",CIVILIZAÇAO BRASILEI,6558020254,2021.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,322.0,69.9,DICIONÁRIO DA ANTIGUIDADE AFRICANA,História
2019.0,"Autor:GRATZ, ALAN|Tradutor:RISSATTI, PETÊ",GALERA RECORD,8501116467,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,288.0,44.9,REFUGIADOS,Teen
2019.0,"Autor:PIMENTA, PAULA",GUTENBERG AUTENTICA,8582356110,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,328.0,49.8,FAZENDO MEU FILME 2 - FANI NA TERRA DA RAINHA,Teen
2019.0,"Autor:PIMENTA, PAULA",GUTENBERG AUTENTICA,8582356137,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,424.0,33.31,FAZENDO MEU FILME 3 - O ROTEIRO INESPERADO DE FANI,Teen
1990.0,"Autor:MARIE, JEAN-JACQUES",PERSPECTIVA -,8527305852,1990.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,160.0,39.9,O TROTSKISMO,História
1995.0,"Autor:KLEIN, CLAUDE",PERSPECTIVA -,8527305844,1995.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,132.0,39.9,WEIMAR,História
2015.0,"Autor:WILLIAMS, KATE",LEYA,8544100112,2015.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,461.0,57.0,JOSEFINA,História
2009.0,"Autor:FLORENZANO, BEATRIZ|Autor:VIANNA, SALVADOR WERNECK|Autor:CASTRO, MAURICIO BARROS DE",EDITORA OLHARES,8562114030,2009.0,1.0,Nacional,LIVRO,CAPA DURA,PORTUGUÊS,BRASIL,180.0,72.0,FACES DA MOEDA,História
2013.0,"Autor:JENKINS, PHILIP|Tradutor:SZLAK, CARLOS",LEYA,8580448980,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,352.0,52.0,GUERRAS SANTAS,História
2016.0,"Autor:MEIHY, MURILO",CONTEXTO,8572449329,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,192.0,45.0,OS LIBANESES,História
1984.0,"Autor:RODRIGUES, JOSE HONORIO",PERSPECTIVA -,8527304848,1984.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,278.0,59.9,"HISTÓRIA, CORPO DO TEMPO",História
2010.0,"Autor:GARRIGOU, ALAIN|Autor:LACROIX, BERNARD",PERSPECTIVA -,8527302381,2010.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,280.0,69.9,"NORBERT ELIAS, A POLITICA E A HISTORIA",História
2016.0,"Autor:NAPOLITANO, MARCOS",CONTEXTO,8572449795,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,176.0,35.9,HISTÓRIA DO BRASIL REPÚBLICA,História
1979.0,"Autor:GRAHAM, RICHARD",PERSPECTIVA -,8527305232,1979.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,196.0,49.9,"ESCRAVIDÃO, REFORMA E IMPERIALISMO",História
2017.0,"Autor:CHRISTOPHERSON, ROBERT|Tradutor:AMON, THEO|Autor:BIRKELAND, GINGER H.",BOOKMAN COMPANHIA ED,8582604432,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,688.0,330.0,GEOSSISTEMAS,Geografia
