Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
GUTENBERG AUTENTICA,8582356099,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,336,36.6,FAZENDO MEU FILME 1 - A ESTREIA DE FANI,TEEN,PAULA PIMENTA
VIA LEITURA,8567097274,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,272,39.9,AS AVENTURAS DE TOM SAWYER,TEEN,MARK TWAIN
PLATAFORMA 21,8592783003,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,224,42.9,CRENSHAW: A FOME DA IMAGINAÇÃO,TEEN,KATHERINE APPLEGATE
GALERA RECORD,8501093882,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,352,49.9,"WILL E WILL: UM NOME, UM DESTINO",TEEN,DAVID LEVITHAN; JOHN GREEN
GUTENBERG AUTENTICA,8582354347,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,240,44.9,A HISTÓRIA DO FUTURO DE GLORY O’BRIEN,TEEN,A. S. KING
ROCCO,8579801281,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,360,39.5,GATA BRANCA,TEEN,HOLLY BLACK
FARO EDITORIAL,8562409480,2015,1,NACIONAL,CAPA DURA,PORTUGUÊS,BRASIL,360,44.03,A HISTÓRIA NÃO CONTADA DOS EUA,HISTÓRIA,OLIVER STONE; PETER KUZNICK
RECORD,8501110019,2017,2017,USADO,BROCHURA,PORTUGUÊS,BRASIL,476,39.95,"ARMAS, GERMES E AÇO",HISTÓRIA,JARED M. DIAMOND
COMPANHIA DAS LETRAS,8535928235,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,944,117.9,OS ROMÁNOV,HISTÓRIA,SIMON SEBAG MONTEFIORE
JOANA CORTES,8560207740,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,138,40.0,"VIGILANTES DA ORDEM, OS",HISTÓRIA,PAULA DE ALMEIDA RESENDE
VALERIA BORGES,8562618020,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,223,50.0,LAPA TROPAS E TROPEIROS: CAMINHOS DA HISTORIA,HISTÓRIA,VALEIRA BORGES DA BORGES
FARIA E SILVA (EB),6589573174,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,104,49.9,TRATADO SOBRE O CANHAMO,HISTÓRIA,FARIA E SILVA EDITORA
COMPANHIA DAS LETRAS,655921009X,2021,2021,USADO,BROCHURA,PORTUGUÊS,BRASIL,424,42.45,ARRANCADOS DA TERRA,HISTÓRIA,LIRA NETO
LETRAS DO BRASIL,8561469005,2008,2016,USADO,BROCHURA,PORTUGUÊS,BRASIL,204,16.95,MARIA ANTONIA - A HISTORIA DE UMA GUERRA,HISTÓRIA,GILBERTO AMENDOLA
M.BOOKS,8576802791,2016,2016,USADO,BROCHURA,PORTUGUÊS,BRASIL,216,44.5,SNIPERS NAS GUERRAS: DA GUERRA DE INDEPENDÊNCIA DOS ESTADOS UNIDOS ÀS GUERRAS ATUAIS,HISTÓRIA,MICHAEL E HASKEW
COBOGO,6556910287,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,240,54.0,TRÊS POETAS DO SAMBA-ENREDO,HISTÓRIA,LEONARDO BRUNO
DAVID BROWN BOOK CO,9059830105,2004,2004,USADO,BROCHURA,INGLÊS,ESTADOS UNIDOS,191,143.74,VIKINGS!,HISTÓRIA,ANNEMARIEKE WILLEMSEN
BENVIRA,6558100002,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,49.9,À PROCURA DELES,HISTÓRIA,MARY DEL PRIORE
CONTEXTO,6555411414,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,160,37.0,100 TEXTOS DE HISTÓRIA ANTIGA - EDIÇÃO COMEMORATIVA,HISTÓRIA,JAIME PINSKY
IMAGO EDITORA,8531208025,2002,1,USADO,BROCHURA,PORTUGUÊS,BRASIL,356,40.5,REX DEUS,HISTÓRIA,GRAHAM SIMMANS; MARILYN HOPKINS; TIM WALLACE-MURPHY
VOZES,6557131648,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,224,40.0,HISTÓRIA DO SILÊNCIO,HISTÓRIA,ALAIN CORBIN
GALERA RECORD,8501104175,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,39.9,FERINOS: O ENCANTADOR DE CORVOS (VOL. 1),TEEN,JACOB GREY
HAPPY BOOKS,8595032866,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,10,31.12,BRILHA E AGITA: EU TENHO 1 ANINHO,TEEN,LAKE PRESS PTY LTD
ROCCO,8579801478,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,392,39.5,CÍRCULO DE FOGO - VOL. 3. COLEÇÃO A PROFECIA DAS IRMÃS,TEEN,MICHELLE ZINK
CIVILIZAÇAO BRASILEI,6558020254,2021,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,322,69.9,DICIONÁRIO DA ANTIGUIDADE AFRICANA,HISTÓRIA,NEI LOPES
GALERA RECORD,8501116467,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,288,44.9,REFUGIADOS,TEEN,ALAN GRATZ
GUTENBERG AUTENTICA,8582356110,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,328,49.8,FAZENDO MEU FILME 2 - FANI NA TERRA DA RAINHA,TEEN,PAULA PIMENTA
WMF MARTINS FONTES,8546900434,2016,4,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,167,44.9,POR UM SIMPLES PEDAÇO DE CERAMICA,TEEN,LINDA SUE PARK
